Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
	Plinio	authority		1631	Quevedo, Francisco de			4		
	san Jerónimo	authority		1631	Quevedo, Francisco de			4		
	Aristóteles	authority		1631	Quevedo, Francisco de			4		
	Aristóteles	authority		1631	Quevedo, Francisco de			4		
	Aristóteles	authority		1631	Quevedo, Francisco de			4		
	Herrera, Fernando de	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Aristóteles	authority		1631	Quevedo, Francisco de			mentionné		
	Demetrio Falereo	authority		1631	Quevedo, Francisco de			4		
	Demetrio Falereo	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Aristóteles	authority		1631	Quevedo, Francisco de			cité		
	Erasmo	authority		1631	Quevedo, Francisco de			4		
	Augusto	authority		1631	Quevedo, Francisco de			cité		
	san             Jerónimo	authority		1631	Quevedo, Francisco de			4		
	Andreini de Pistoia, Francisco	authority		1631	Quevedo, Francisco de			4		
	Macial	authority		1631	Quevedo, Francisco de			4		
	Estacio	authority		1631	Quevedo, Francisco de			4		
	Horacio	authority		1631	Quevedo, Francisco de			4		
	Espinel, Vicente	authority		1631	Quevedo, Francisco de			4		
	Demetrio Falereo	authority		1631	Quevedo, Francisco de			4		
	Demetrio Falereo	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Aristóteles	authority		1631	Quevedo, Francisco de			cité		
	Propercio	authority		1631	Quevedo, Francisco de			4		
	Petronio	authority		1631	Quevedo, Francisco de			4		
	Petronio	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Antífanes	authority		1631	Quevedo, Francisco de			4		
	Aristófanes	authority		1631	Quevedo, Francisco de			4		
	Petronio	authority		1631	Quevedo, Francisco de			4		
	Epicteto	authority		1631	Quevedo, Francisco de			4		
	Rittershausen, Konrad	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Quintiliano	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Virgilio	authority		1631	Quevedo, Francisco de			cité		
	Virgilio	authority		1631	Quevedo, Francisco de			4		
	Quintiliano	authority		1631	Quevedo, Francisco de			4		
	Quintiliano	authority		1631	Quevedo, Francisco de			4		
	Horacio	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Boscán	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Garcilaso	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Figueroa, Francisco de	authority		1631	Quevedo, Francisco de			4		
	Aldana, Francisco de	authority		1631	Quevedo, Francisco de			4		
	Barahona de Soto, Luis	authority		1631	Quevedo, Francisco de			4		
	Ercilla, Alonso de	authority		1631	Quevedo, Francisco de			4		
	Píndaro	authority		1631	Quevedo, Francisco de			4		
	Horacio	authority		1631	Quevedo, Francisco de			4		
	Píndaro	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Horacio	authority		1631	Quevedo, Francisco de			4		
	Aldana, Francisco de	authority		1631	Quevedo, Francisco de			4		
	León, fray Luis de	authority		1631	Quevedo, Francisco de			4		
	Horacio	authority		1631	Quevedo, Francisco de			cité		
	Villena, Enrique de	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Quintiliano	authority		1631	Quevedo, Francisco de			4		
	OC264B	ref		1631	Quevedo, Francisco de	Era del año la estación florida [Soledad Primera]	1613			
	OC8	ref		1631	Quevedo, Francisco de	Da bienes Fortuna	1581			
	OC264B	ref		1631	Quevedo, Francisco de	Era del año la estación florida [Soledad Primera]	1613			
	Lulio, Antonio	authority		1631	Quevedo, Francisco de			4		
	Virgilio	authority		1631	Quevedo, Francisco de			4		
	Horacio	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Píndaro	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Virgilio	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Petrarca	authority		1631	Quevedo, Francisco de			mentionné et cité		
	Casa, Giovanni della	authority		1631	Quevedo, Francisco de			mentionné et cité		

